episode_id,start_id,goal_id,image_file,x_r,y_r,yaw_r,x_g,y_g,yaw_g,dX,dY,sin_dYaw,cos_dYaw,dist_to_goal,dist_home_to_goal,odom_linear_vel,odom_angular_vel,cmd_linear_vel,cmd_angular_vel,lidar_points,marker1_id,marker1_x,marker1_y,marker1_z,marker1_yaw,marker2_id,marker2_x,marker2_y,marker2_z,marker2_yaw,marker3_id,marker3_x,marker3_y,marker3_z,marker3_yaw
4,Home,A,111553_686273.jpg,-0.013977,0.000175,-0.016573,-13.6386,2.68756,-0.054382,-13.667289,2.46122,-0.0378,0.999285,13.887131,30.576686,-0.133775,-0.100468,-1,-0.5,"[3.241, 3.257, 3.247, 3.745, 3.12, 2.687, 2.349, 2.097, 1.904, 1.742, 1.605, 1.49, 1.398, 1.314, 1.247, 1.184, 1.131, 1.084, 1.043, 0.65, 0.629, 0.61, 0.594, 0.581, 0.568, 0.557, 0.548, 0.54, 0.533, 0.527, 0.523, 0.519, 0.516, 0.515, 0.514, 0.515, 0.516, 0.519, 0.522, 0.526, 0.532, 0.539, 0.547, 0.556, 0.567, 0.579, 0.593, 0.609, 0.627, 1.005, 1.041, 1.08, 1.127, 1.18, 1.24, 1.309, 1.391, 1.48, 1.589, 1.728, 1.879, 2.089, 2.323, 2.661, 3.094, 3.657, 4.594, inf]",,,,,,,,,,,,,,,
4,Home,A,111553_886232.jpg,-0.092636,0.00215,-0.030433,-13.6386,2.68756,-0.054382,-13.621403,2.271988,-0.023947,0.999713,13.809582,30.576686,-0.479945,-0.060349,-1,-0.5,"[3.227, 3.25, 3.268, 3.241, 3.634, 3.101, 2.692, 2.391, 2.162, 1.971, 1.811, 1.676, 1.569, 1.473, 1.395, 1.322, 1.261, 1.207, 1.161, 1.119, 1.082, 0.71, 0.691, 0.674, 0.659, 0.646, 0.634, 0.625, 0.616, 0.609, 0.604, 0.599, 0.596, 0.594, 0.593, 0.593, 0.594, 0.596, 0.6, 0.604, 0.61, 0.618, 0.627, 0.637, 0.649, 0.662, 0.678, 0.695, 1.057, 1.091, 1.129, 1.17, 1.219, 1.275, 1.337, 1.41, 1.495, 1.587, 1.701, 1.844, 1.999, 2.213, 2.45, 2.788, 3.215, 3.761, 4.646, inf]",,,,,,,,,,,,,,,
4,Home,A,111554_086250.jpg,-0.240057,0.007341,-0.039139,-13.6386,2.68756,-0.054382,-13.493156,2.153895,-0.015243,0.999884,13.663986,30.576686,-0.822216,-0.040946,-1,-0.5,"[3.238, 3.241, 3.267, 3.292, 3.357, 3.741, 3.232, 2.861, 2.58, 2.346, 2.151, 1.988, 1.859, 1.742, 1.648, 1.561, 1.487, 1.422, 1.367, 1.317, 1.272, 1.233, 1.199, 0.846, 0.826, 0.81, 0.795, 0.782, 0.771, 0.762, 0.755, 0.749, 0.744, 0.741, 0.74, 0.74, 0.741, 0.743, 0.748, 0.753, 0.76, 0.769, 0.779, 0.792, 0.806, 0.823, 1.164, 1.192, 1.226, 1.265, 1.308, 1.356, 1.411, 1.474, 1.545, 1.628, 1.724, 1.828, 1.956, 2.117, 2.291, 2.53, 2.793, 3.166, 3.635, 4.228, inf, inf]",,,,,,,,,,,,,,,
4,Home,A,111554_286047.jpg,-0.42443,0.017948,-0.084523,-13.6386,2.68756,-0.054382,-13.392371,1.544516,0.030136,0.999546,13.48114,30.576686,-0.943131,-0.297077,-1,-0.5,"[3.22, 3.238, 3.248, 3.257, 3.29, 3.32, 3.359, 3.861, 3.427, 3.076, 2.789, 2.553, 2.368, 2.204, 2.073, 1.952, 1.85, 1.762, 1.687, 1.619, 1.559, 1.506, 1.46, 1.42, 1.383, 1.352, 1.013, 0.995, 0.979, 0.965, 0.954, 0.944, 0.936, 0.931, 0.927, 0.925, 0.924, 0.926, 0.929, 0.934, 0.941, 0.95, 0.96, 0.973, 0.989, 1.314, 1.341, 1.37, 1.406, 1.445, 1.49, 1.539, 1.596, 1.661, 1.733, 1.817, 1.914, 2.019, 2.146, 2.304, 2.473, 2.7, 2.945, 3.286, 3.697, 4.197, 4.95, inf]",,,,,,,,,,,,,,,
4,Home,A,111554_486094.jpg,-0.620734,0.043412,-0.177465,-13.6386,2.68756,-0.054382,-13.280197,0.304509,0.122773,0.992435,13.283688,30.576686,-1,-0.499999,-1,-0.5,"[3.237, 3.228, 3.227, 3.228, 3.251, 3.267, 3.29, 3.31, 3.354, 3.397, 3.393, 3.646, 3.313, 3.027, 2.806, 2.605, 2.44, 2.299, 2.18, 2.074, 1.982, 1.9, 1.829, 1.768, 1.712, 1.664, 1.62, 1.583, 1.549, 1.519, 1.194, 1.176, 1.162, 1.15, 1.14, 1.132, 1.127, 1.124, 1.123, 1.124, 1.128, 1.134, 1.141, 1.151, 1.164, 1.179, 1.499, 1.524, 1.555, 1.59, 1.629, 1.673, 1.723, 1.781, 1.844, 1.917, 2.002, 2.091, 2.199, 2.329, 2.467, 2.647, 2.836, 3.088, 3.379, 3.714, 4.182, 4.746]",,,,,,,,,,,,,,,
4,Home,A,111554_686167.jpg,-0.815501,0.088494,-0.277465,-13.6386,2.68756,-0.054382,-13.044585,-1.012826,0.221237,0.97522,13.083846,30.576686,-1,-0.499999,-1,-0.5,"[3.323, 3.297, 3.269, 3.255, 3.249, 3.25, 3.26, 3.271, 3.304, 3.33, 3.364, 3.396, 3.453, 3.511, 3.935, 3.577, 3.292, 3.055, 2.858, 2.688, 2.54, 2.412, 2.302, 2.207, 2.12, 2.046, 1.978, 1.921, 1.87, 1.823, 1.785, 1.748, 1.718, 1.394, 1.376, 1.359, 1.347, 1.337, 1.33, 1.325, 1.323, 1.324, 1.327, 1.332, 1.341, 1.351, 1.365, 1.677, 1.702, 1.73, 1.763, 1.799, 1.842, 1.891, 1.945, 2.007, 2.078, 2.153, 2.242, 2.349, 2.461, 2.604, 2.751, 2.942, 3.157, 3.394, 3.712, 4.073]",,,,,,,,,,,,,,,
4,Home,A,111554_886177.jpg,-1.004794,0.152796,-0.377465,-13.6386,2.68756,-0.054382,-12.678636,-2.300058,0.317491,0.948261,12.885577,30.576686,-1,-0.499999,-1,-0.5,"[3.458, 3.413, 3.371, 3.352, 3.331, 3.265, 3.298, 3.294, 3.299, 3.312, 3.345, 3.353, 3.396, 3.436, 3.47, 3.535, 3.599, 3.614, 3.814, 3.53, 3.289, 3.084, 2.911, 2.764, 2.63, 2.517, 2.414, 2.328, 2.25, 2.18, 2.122, 2.065, 2.019, 1.978, 1.942, 1.908, 1.586, 1.568, 1.552, 1.54, 1.53, 1.523, 1.52, 1.519, 1.522, 1.527, 1.535, 1.546, 1.852, 1.874, 1.899, 1.928, 1.963, 2.003, 2.048, 2.099, 2.159, 2.221, 2.295, 2.384, 2.475, 2.591, 2.709, 2.859, 3.025, 3.204, 3.437, 3.693]",,,,,,,,,,,,,,,
4,Home,A,111555_086061.jpg,-1.186722,0.235675,-0.477465,-13.6386,2.68756,-0.054382,-12.186007,-3.544325,0.410573,0.911828,12.690981,30.576686,-1,-0.499999,-1,-0.5,"[3.648, 3.584, 3.53, 3.443, 3.459, 3.428, 3.395, 3.387, 3.377, inf, 3.364, 3.371, 3.386, 3.411, 3.436, 3.487, 3.536, 3.622, 3.633, 3.713, 3.831, 4.014, 3.733, 3.499, 3.291, 3.117, 2.961, 2.832, 2.715, 2.61, 2.523, 2.439, 2.37, 2.308, 2.254, 2.202, 2.16, 2.125, 1.795, 1.773, 1.753, 1.737, 1.726, 1.717, 1.712, 1.71, 1.711, 1.716, 1.724, 2.023, 2.04, 2.061, 2.088, 2.119, 2.155, 2.196, 2.245, 2.296, 2.357, 2.43, 2.504, 2.599, 2.694, 2.815, 2.946, 3.086, 3.265, 3.457]",,,,,,,,,,,,,,,
4,Home,A,111555_286170.jpg,-1.359467,0.336302,-0.577465,-13.6386,2.68756,-0.054382,-11.57162,-4.733195,0.499553,0.866283,12.50222,30.576686,-1,-0.499999,-1,-0.5,"[inf, inf, 3.77, 3.697, 3.638, 3.592, 3.546, 3.525, 3.499, 3.514, 3.456, 3.458, 3.458, 3.454, 3.464, 3.484, 3.514, 3.562, 3.587, 3.65, 3.71, 3.768, 3.856, 3.942, 4.189, 3.915, 3.674, 3.476, 3.3, 3.144, 3.015, 2.891, 2.79, 2.699, 2.619, 2.542, 2.48, 2.426, 2.375, 2.335, 1.999, 1.97, 1.948, 1.93, 1.914, 1.904, 1.896, 1.893, 1.893, 1.897, 2.189, 2.202, 2.219, 2.241, 2.267, 2.299, 2.337, 2.377, 2.426, 2.485, 2.546, 2.622, 2.7, 2.797, 2.902, 3.014, 3.154, 3.303]",,,,,,,,,,,,,,,
4,Home,A,111555_486169.jpg,-1.521304,0.453672,-0.677464,-13.6386,2.68756,-0.054382,-10.841613,-5.85479,0.583541,0.812084,12.321491,30.576686,-1,-0.499999,-1,-0.5,"[inf, inf, inf, inf, inf, 3.811, 3.779, 3.736, 3.67, 3.634, 3.6, 3.589, 3.573, 3.554, 3.561, 3.565, 3.675, 3.583, 3.605, 3.637, 3.68, 3.726, 3.796, 3.861, 3.928, 4.024, 4.161, 4.34, 4.069, 3.831, 3.639, 3.455, 3.306, 3.174, 3.058, 2.946, 2.856, 2.777, 2.702, 2.643, 2.587, 2.535, 2.194, 2.163, 2.135, 2.113, 2.095, 2.082, 2.072, 2.067, 2.065, 2.351, 2.359, 2.371, 2.387, 2.409, 2.436, 2.466, 2.504, 2.549, 2.597, 2.658, 2.72, 2.799, 2.883, 2.972, 3.084, 3.201]",,,,,,,,,,,,,,,
