image_file,episode_id,x_r,y_r,yaw_r,x_g,y_g,yaw_g,dX,dY,sin_dYaw,cos_dYaw,dist_to_goal,dist_home_to_goal,odom_linear_vel,odom_angular_vel,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,lidar_16,lidar_17,lidar_18,lidar_19,lidar_20,lidar_21,lidar_22,lidar_23,lidar_24,lidar_25,lidar_26,lidar_27,lidar_28,lidar_29,lidar_30,lidar_31,lidar_32,lidar_33,lidar_34,lidar_35,lidar_36,lidar_37,lidar_38,lidar_39,lidar_40,lidar_41,lidar_42,lidar_43,lidar_44,lidar_45,lidar_46,lidar_47,lidar_48,lidar_49,lidar_50,lidar_51,lidar_52,lidar_53,lidar_54,lidar_55,lidar_56,lidar_57,lidar_58,lidar_59,lidar_60,lidar_61,lidar_62,lidar_63,lidar_64,lidar_65,lidar_66,lidar_67,cmd_linear_vel,cmd_angular_vel
105839_703058.jpg,1,-0.0051,0.0,-0.0,-13.6386,2.6876,-0.0544,-13.6335,2.6875,-0.0544,0.9985,13.8959,30.5767,0.0,0.0,0.325,0.3268,0.4237,0.3429,0.2895,0.2516,0.2216,0.199,0.1815,0.1667,0.1541,0.1435,0.1349,0.1271,0.1209,0.1149,0.1099,0.1055,0.0652,0.063,0.0611,0.0594,0.0579,0.0566,0.0554,0.0544,0.0535,0.0528,0.0522,0.0516,0.0512,0.0509,0.0507,0.0506,0.0506,0.0507,0.0508,0.0511,0.0515,0.052,0.0526,0.0533,0.0541,0.0551,0.0562,0.0575,0.059,0.0605,0.0625,0.1008,0.1045,0.1086,0.1135,0.119,0.1253,0.1326,0.1411,0.1505,0.1622,0.1769,0.1932,0.2158,0.2414,0.2788,0.3276,0.3926,1.0,1.0,0.0,0.0
105839_902971.jpg,1,-0.0069,0.0,-0.0,-13.6386,2.6876,-0.0544,-13.6317,2.6874,-0.0543,0.9985,13.8941,30.5767,-0.0184,-0.0,0.325,0.3268,0.4247,0.3437,0.2901,0.2522,0.2221,0.1995,0.1819,0.1671,0.1545,0.1438,0.1352,0.1274,0.1211,0.1152,0.1102,0.1057,0.0654,0.0633,0.0613,0.0596,0.0581,0.0568,0.0556,0.0546,0.0537,0.053,0.0523,0.0518,0.0514,0.0511,0.0509,0.0508,0.0507,0.0508,0.051,0.0513,0.0517,0.0521,0.0527,0.0535,0.0543,0.0553,0.0564,0.0577,0.0592,0.0607,0.0627,0.101,0.1047,0.1089,0.1137,0.1193,0.1255,0.1329,0.1415,0.1508,0.1625,0.1773,0.1936,0.2163,0.2419,0.2794,0.3283,0.3934,1.0,1.0,-1.0,0.0
105840_103058.jpg,1,-0.0577,0.0,-0.0001,-13.6386,2.6876,-0.0544,-13.5812,2.6862,-0.0543,0.9985,13.8443,30.5767,-0.3403,-0.0006,0.325,0.3268,0.3238,0.3657,0.3086,0.2683,0.2363,0.2122,0.1935,0.1777,0.1643,0.1529,0.1438,0.1355,0.1288,0.1225,0.1172,0.1125,0.1084,0.0695,0.0674,0.0655,0.0638,0.0624,0.0611,0.06,0.059,0.0582,0.0575,0.0569,0.0565,0.0561,0.0559,0.0558,0.0558,0.0559,0.0561,0.0564,0.0568,0.0573,0.058,0.0588,0.0597,0.0607,0.062,0.0634,0.065,0.0668,0.1038,0.1074,0.1114,0.1158,0.1209,0.1268,0.1335,0.1413,0.1504,0.1604,0.1728,0.1885,0.2058,0.23,0.2572,0.2971,0.349,0.4182,1.0,1.0,-1.0,0.0
105840_302941.jpg,1,-0.1776,0.0,-0.0003,-13.6386,2.6876,-0.0544,-13.4617,2.684,-0.0541,0.9985,13.7266,30.5767,-0.6862,-0.0009,0.3241,0.3268,0.3291,0.4179,0.3527,0.3066,0.2699,0.2424,0.2211,0.203,0.1877,0.1747,0.1643,0.1548,0.1472,0.1399,0.1338,0.1285,0.1238,0.1197,0.116,0.0795,0.0775,0.0758,0.0742,0.0728,0.0716,0.0707,0.0698,0.0691,0.0686,0.0682,0.0679,0.0677,0.0677,0.0678,0.0681,0.0684,0.0689,0.0696,0.0704,0.0714,0.0724,0.0737,0.0753,0.077,0.1119,0.1149,0.1185,0.1226,0.1272,0.1322,0.1381,0.1448,0.1524,0.1613,0.1717,0.1831,0.1973,0.2152,0.235,0.2625,0.2936,0.339,0.3983,0.4772,1.0,1.0,-1.0,-0.5
105840_502898.jpg,1,-0.3527,0.001,-0.0193,-13.6386,2.6876,-0.0544,-13.3353,2.4292,-0.035,0.9994,13.5548,30.5767,-0.9067,-0.167,0.3241,0.3247,0.3276,0.3304,0.3339,0.3854,0.3365,0.3003,0.2725,0.2491,0.2295,0.2129,0.1997,0.1877,0.1781,0.169,0.1613,0.1546,0.1488,0.1436,0.139,0.1349,0.1314,0.1283,0.0942,0.0924,0.0908,0.0895,0.0883,0.0873,0.0866,0.086,0.0856,0.0853,0.0852,0.0853,0.0855,0.0859,0.0864,0.0871,0.0881,0.0892,0.0905,0.092,0.125,0.1277,0.1308,0.1341,0.1382,0.1427,0.1478,0.1535,0.16,0.1675,0.1759,0.1858,0.1973,0.2098,0.2253,0.2448,0.2662,0.2956,0.3285,0.3759,0.4364,1.0,1.0,1.0,-1.0,-0.5
105840_703001.jpg,1,-0.5453,0.0111,-0.0938,-13.6386,2.6876,-0.0544,-13.2864,1.4385,0.0394,0.9992,13.3641,30.5767,-0.9827,-0.4383,0.321,0.3214,0.3237,0.3253,0.3266,0.3313,0.3341,0.3385,0.3852,0.3448,0.3119,0.2851,0.2641,0.2454,0.2307,0.217,0.2055,0.1955,0.187,0.1794,0.1727,0.1667,0.1615,0.157,0.1529,0.1493,0.1461,0.1435,0.111,0.1094,0.1081,0.1069,0.106,0.1054,0.1049,0.1046,0.1045,0.1046,0.105,0.1055,0.1062,0.1072,0.1083,0.1098,0.1417,0.1441,0.147,0.1501,0.1539,0.1582,0.163,0.1682,0.1744,0.1814,0.1891,0.1981,0.2086,0.2198,0.2334,0.2502,0.2682,0.2924,0.3184,0.3544,0.3976,0.4499,1.0,1.0,-1.0,-0.5
105840_902969.jpg,1,-0.7431,0.0398,-0.1938,-13.6386,2.6876,-0.0544,-13.164,0.1148,0.139,0.9903,13.1645,30.5767,-1.0,-0.5,0.3236,0.3222,0.3217,0.3221,0.3226,0.32,0.3273,0.3299,0.3322,0.3372,0.3421,0.345,0.3729,0.3395,0.3138,0.2905,0.2715,0.2553,0.2416,0.2296,0.219,0.2097,0.2016,0.1947,0.1882,0.1828,0.1778,0.1735,0.1697,0.1663,0.1636,0.1312,0.1295,0.128,0.1269,0.1259,0.1252,0.1248,0.1246,0.1247,0.125,0.1255,0.1263,0.1273,0.1287,0.1302,0.1621,0.1647,0.1679,0.1715,0.1756,0.1801,0.1854,0.1913,0.1979,0.2056,0.2143,0.2236,0.2347,0.2482,0.2623,0.2808,0.3001,0.3258,0.3553,0.3889,0.4356,0.4912,-1.0,-0.5
105841_103016.jpg,1,-0.9371,0.088,-0.2938,-13.6386,2.6876,-0.0544,-12.91,-1.1899,0.2371,0.9715,12.9648,30.5767,-1.0,-0.5,0.3319,0.33,0.3281,0.3256,0.3246,0.3244,0.325,0.3263,0.3278,0.3315,0.3346,0.3385,0.342,0.3484,0.3543,0.3976,0.3647,0.3375,0.315,0.2956,0.2788,0.2644,0.2519,0.2412,0.2314,0.223,0.2154,0.209,0.2032,0.1979,0.1936,0.1894,0.1861,0.1831,0.151,0.1491,0.1476,0.1465,0.1456,0.145,0.1446,0.1446,0.1448,0.1453,0.1461,0.1472,0.1486,0.1797,0.1822,0.1851,0.1884,0.1922,0.1966,0.2016,0.2071,0.2135,0.2208,0.2285,0.2377,0.2487,0.2601,0.2748,0.2898,0.3093,0.331,0.355,0.3868,0.4229,-1.0,-0.5
105841_305364.jpg,1,-1.1254,0.1554,-0.3938,-13.6386,2.6876,-0.0544,-12.5271,-2.4629,0.3329,0.943,12.7669,30.5767,-1.0,-0.5,0.3459,0.3425,0.339,0.335,0.3336,0.332,0.3309,0.3295,0.3295,0.3303,0.3385,0.3344,0.3369,0.3419,0.346,0.3503,0.3573,0.3642,0.3661,0.3872,0.3599,0.3367,0.3172,0.3006,0.2856,0.273,0.2615,0.2519,0.2432,0.2353,0.2288,0.2225,0.2173,0.2127,0.2087,0.2049,0.2019,0.1701,0.1682,0.1668,0.1656,0.1648,0.1643,0.1641,0.1643,0.1647,0.1655,0.1666,0.197,0.1992,0.2017,0.2047,0.2082,0.2122,0.2168,0.2221,0.2281,0.2345,0.2421,0.2511,0.2604,0.2722,0.2842,0.2995,0.3163,0.3344,0.3578,0.3835,-1.0,-0.5
105841_503064.jpg,1,-1.3059,0.2412,-0.4938,-13.6386,2.6876,-0.0544,-12.0189,-3.6912,0.4254,0.905,12.573,30.5767,-1.0,-0.5,0.3674,0.3604,0.3553,0.35,0.3419,0.344,0.3413,0.3384,0.3381,0.3374,0.3322,0.337,0.338,0.3401,0.3428,0.346,0.3461,0.3565,0.3621,0.3677,0.3764,0.389,0.4061,0.3799,0.3565,0.3371,0.3197,0.3052,0.2923,0.2806,0.271,0.2616,0.254,0.2472,0.2411,0.2353,0.2307,0.2267,0.223,0.1907,0.1885,0.1865,0.1852,0.1841,0.1834,0.1831,0.1831,0.1835,0.1842,0.214,0.2157,0.2178,0.2204,0.2235,0.2271,0.2313,0.2362,0.2414,0.2475,0.2549,0.2625,0.2721,0.2818,0.294,0.3073,0.3214,0.3394,0.3587,-1.0,-0.5
105841_703115.jpg,1,-1.477,0.3447,-0.5938,-13.6386,2.6876,-0.0544,-11.3907,-4.8626,0.5136,0.858,12.3852,30.5767,-1.0,-0.5,1.0,1.0,1.0,0.3728,0.3663,0.3611,0.3567,0.3527,0.3512,0.3489,0.3473,0.3455,0.3461,0.3465,0.3465,0.348,0.3505,0.3584,0.3578,0.3622,0.3692,0.3757,0.3821,0.3914,0.4049,0.4231,0.3961,0.3741,0.3546,0.3372,0.3231,0.3093,0.2981,0.2881,0.2793,0.2708,0.264,0.258,0.2524,0.2479,0.2438,0.2105,0.208,0.2058,0.204,0.2028,0.2018,0.2013,0.2012,0.2015,0.2306,0.2317,0.2334,0.2355,0.2381,0.2413,0.245,0.2491,0.254,0.2599,0.266,0.2738,0.2816,0.2914,0.302,0.3132,0.3273,0.3423,-1.0,-0.5
105841_902941.jpg,1,-1.6369,0.4647,-0.6938,-13.6386,2.6876,-0.0544,-10.6487,-5.9655,0.5967,0.8025,12.2058,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3771,0.3743,0.3693,0.3652,0.362,0.359,0.3585,0.3573,0.3558,0.3569,0.3578,0.3541,0.3604,0.3631,0.3669,0.3717,0.3768,0.3843,0.3917,0.3988,0.4095,0.4236,0.4371,0.4108,0.3895,0.3692,0.3528,0.3383,0.3254,0.3132,0.3033,0.2947,0.2864,0.2799,0.2737,0.268,0.2636,0.2298,0.2266,0.2241,0.2221,0.2205,0.2194,0.2186,0.2183,0.2468,0.2474,0.2485,0.25,0.2521,0.2547,0.2577,0.2614,0.266,0.2708,0.2769,0.2831,0.291,0.2994,0.3084,0.3196,0.3314,-1.0,-0.5
105842_102917.jpg,1,-1.784,0.6,-0.7938,-13.6386,2.6876,-0.0544,-9.8003,-6.9888,0.6738,0.7389,12.037,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3842,0.3792,0.3756,0.3727,0.3703,0.37,0.3808,0.3691,0.3688,0.371,0.373,0.3747,0.378,0.3823,0.3878,0.3936,0.4022,0.4101,0.4183,0.4301,0.4353,0.4475,0.423,0.4016,0.3829,0.3652,0.351,0.3386,0.3268,0.3174,0.3085,0.3003,0.2937,0.2877,0.2823,0.2479,0.2444,0.2416,0.2391,0.2372,0.2357,0.2348,0.2626,0.2626,0.263,0.264,0.2655,0.2673,0.2699,0.2731,0.2767,0.2813,0.2861,0.2922,0.2989,0.306,0.3148,0.3242,-1.0,-0.5
105842_302883.jpg,1,-1.9169,0.7494,-0.8938,-13.6386,2.6876,-0.0544,-8.8539,-7.9223,0.7442,0.6679,11.8809,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3927,0.3916,0.3889,0.3877,0.3834,0.3821,0.383,0.3833,0.3835,0.3862,0.3887,0.391,0.3949,0.4,0.4061,0.4127,0.4223,0.431,0.4419,0.4535,0.4851,0.4573,0.4313,0.4108,0.3929,0.3761,0.3627,0.3501,0.3383,0.329,0.3204,0.3125,0.3059,0.3,0.265,0.2609,0.2575,0.2548,0.2526,0.2509,0.2781,0.2773,0.2771,0.2773,0.2781,0.2794,0.2814,0.2837,0.2869,0.2904,0.295,0.3001,0.3055,0.3124,0.3197,-1.0,-0.5
105842_502891.jpg,1,-2.0342,0.9113,-0.9938,-13.6386,2.6876,-0.0544,-7.8191,-8.7567,0.8072,0.5903,11.7396,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4049,0.4016,0.3993,0.3981,0.3971,0.3985,0.3993,0.3999,0.4032,0.4064,0.4092,0.4138,0.4197,0.4264,0.4302,0.4447,0.4537,0.4662,0.4745,0.4885,0.4624,0.4381,0.419,0.401,0.3844,0.3713,0.3592,0.348,0.3386,0.3302,0.3231,0.2856,0.2804,0.276,0.2724,0.2692,0.2667,0.2647,0.2917,0.2906,0.2901,0.2902,0.2908,0.2919,0.2938,0.296,0.2991,0.3027,0.3067,0.3118,0.3174,-1.0,-0.5
105842_702956.jpg,1,-2.1347,1.0841,-1.0938,-13.6386,2.6876,-0.0544,-6.7062,-9.4835,0.8621,0.5067,11.6151,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4198,0.4168,0.415,0.4142,0.4137,0.4155,0.4169,0.418,0.4219,0.4258,0.4292,0.4351,0.4416,0.4489,0.4591,0.47,0.4813,0.494,1.0,0.4915,0.4656,0.442,0.4235,0.4064,0.3908,0.3777,0.3658,0.3559,0.3464,0.3382,0.3001,0.2946,0.2897,0.2855,0.2821,0.2792,0.3055,0.3037,0.3024,0.3016,0.3014,0.3018,0.3028,0.3044,0.3066,0.3093,0.3128,0.3168,-1.0,-0.5
105842_902914.jpg,1,-2.2175,1.2661,-1.1938,-13.6386,2.6876,-0.0544,-5.5263,-10.0957,0.9084,0.4181,11.5092,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.436,0.4334,0.432,0.4317,0.4316,0.434,0.4359,0.4376,0.4423,0.4457,0.4508,0.4571,0.4656,0.4703,0.4851,0.496,1.0,1.0,1.0,0.49,0.4657,0.4438,0.4255,0.409,0.3952,0.3821,0.3707,0.3607,0.3201,0.3131,0.307,0.3017,0.2971,0.2932,0.3192,0.3163,0.3139,0.3124,0.3113,0.311,0.3111,0.3119,0.3132,0.3153,0.3178,-1.0,-0.5
105843_102919.jpg,1,-2.2817,1.4554,-1.2938,-13.6386,2.6876,-0.0544,-4.2911,-10.5869,0.9456,0.3254,11.4235,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4532,0.4512,0.4502,0.4872,0.4469,0.4538,0.4553,0.4596,0.4638,0.4684,0.4744,0.4819,0.4907,1.0,1.0,1.0,1.0,1.0,1.0,0.4859,0.4628,0.4436,0.4255,0.4097,0.3961,0.3843,0.3736,0.3317,0.3243,0.3176,0.3118,0.3071,0.3323,0.3282,0.3252,0.3224,0.3206,0.3193,0.3187,0.3186,0.3192,0.3203,-1.0,-0.5
105843_302909.jpg,1,-2.3267,1.6502,-1.3938,-13.6386,2.6876,-0.0544,-3.0131,-10.9525,0.9733,0.2293,11.3593,30.5767,-1.0,-0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4714,0.4698,0.4696,0.4698,0.4724,0.4746,0.477,0.482,0.4859,0.4921,0.499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.4582,0.4394,0.4232,0.4085,0.3955,0.3507,0.3415,0.3333,0.3266,0.3204,0.3448,0.34,0.3355,0.3321,0.3291,0.3269,0.3255,0.3245,0.3242,0.0,0.0
