episode_id,start_id,goal_id,image_file,x_r,y_r,yaw_r,x_g,y_g,yaw_g,dX,dY,sin_dYaw,cos_dYaw,dist_to_goal,dist_home_to_goal,odom_linear_vel,odom_angular_vel,cmd_linear_vel,cmd_angular_vel,lidar_points,marker1_id,marker1_x,marker1_y,marker1_z,marker1_yaw,marker2_id,marker2_x,marker2_y,marker2_z,marker2_yaw,marker3_id,marker3_x,marker3_y,marker3_z,marker3_yaw
2,Home,A,110759_042570.jpg,-0.021229,0.000173,-0.011077,-13.6386,2.68756,-0.054382,-13.646302,2.536392,-0.043292,0.999062,13.880016,30.576686,-0.184804,-0.05797,-1,-0.5,"[3.245, 3.262, 3.231, 3.582, 3.004, 2.6, 2.281, 2.043, 1.859, 1.704, 1.573, 1.462, 1.373, 1.293, 1.228, 1.167, 1.115, 1.07, 0.663, 0.64, 0.62, 0.602, 0.587, 0.573, 0.561, 0.551, 0.541, 0.534, 0.527, 0.522, 0.518, 0.514, 0.512, 0.511, 0.51, 0.511, 0.512, 0.515, 0.519, 0.523, 0.529, 0.536, 0.544, 0.554, 0.565, 0.577, 0.592, 0.607, 0.626, 1.006, 1.043, 1.084, 1.131, 1.185, 1.246, 1.318, 1.401, 1.492, 1.606, 1.748, 1.905, 2.123, 2.368, 2.723, 3.182, 3.786, 4.809, inf]",,,,,,,,,,,,,,,
2,Home,A,110759_242552.jpg,-0.110088,0.001589,-0.019075,-13.6386,2.68756,-0.054382,-13.577283,2.427441,-0.0353,0.999377,13.792573,30.576686,-0.530848,-0.034844,-1,-0.5,"[3.273, 3.257, 3.277, 4.081, 3.396, 2.923, 2.554, 2.28, 2.07, 1.893, 1.744, 1.618, 1.518, 1.427, 1.354, 1.285, 1.227, 1.176, 1.132, 1.093, 0.711, 0.69, 0.672, 0.657, 0.642, 0.63, 0.619, 0.61, 0.602, 0.596, 0.591, 0.586, 0.584, 0.582, 0.581, 0.582, 0.583, 0.586, 0.59, 0.595, 0.601, 0.609, 0.618, 0.628, 0.641, 0.654, 0.67, 0.687, 1.053, 1.088, 1.127, 1.17, 1.22, 1.277, 1.342, 1.417, 1.505, 1.601, 1.719, 1.869, 2.032, 2.258, 2.51, 2.873, 3.339, 3.943, 4.947, inf]",,,,,,,,,,,,,,,
2,Home,A,110759_442572.jpg,-0.266161,0.00504,-0.026723,-13.6386,2.68756,-0.054382,-13.439342,2.324248,-0.027655,0.999618,13.638843,30.576686,-0.857338,-0.049805,-1,-0.5,"[3.233, 3.247, 3.276, 3.304, 4.038, 3.463, 3.018, 2.688, 2.436, 2.225, 2.048, 1.898, 1.779, 1.671, 1.585, 1.503, 1.434, 1.374, 1.322, 1.276, 1.234, 1.198, 1.166, 0.817, 0.799, 0.784, 0.77, 0.759, 0.749, 0.74, 0.734, 0.728, 0.725, 0.722, 0.721, 0.722, 0.724, 0.727, 0.731, 0.737, 0.745, 0.755, 0.765, 0.778, 0.793, 0.81, 1.154, 1.184, 1.219, 1.259, 1.303, 1.352, 1.41, 1.475, 1.549, 1.634, 1.735, 1.844, 1.978, 2.148, 2.332, 2.587, 2.871, 3.278, 3.797, 4.465, inf, inf]",,,,,,,,,,,,,,,
2,Home,A,110759_642533.jpg,-0.452556,0.01412,-0.079042,-13.6386,2.68756,-0.054382,-13.355969,1.623924,0.024658,0.999696,13.454332,30.576686,-0.952373,-0.330054,-1,-0.5,"[3.233, 3.242, 3.256, 3.268, 3.305, 3.339, 4.022, 3.527, 3.159, 2.856, 2.606, 2.398, 2.234, 2.087, 1.97, 1.86, 1.768, 1.688, 1.619, 1.557, 1.503, 1.454, 1.412, 1.375, 1.342, 1.313, 0.98, 0.964, 0.95, 0.937, 0.927, 0.919, 0.913, 0.908, 0.905, 0.904, 0.905, 0.907, 0.911, 0.917, 0.925, 0.935, 0.946, 0.96, 0.977, 1.307, 1.335, 1.366, 1.404, 1.446, 1.493, 1.544, 1.605, 1.673, 1.75, 1.839, 1.943, 2.055, 2.192, 2.363, 2.547, 2.797, 3.069, 3.452, 3.923, 4.507, inf, inf]",,,,,,,,,,,,,,,
2,Home,A,110759_842588.jpg,-0.649755,0.039035,-0.174922,-13.6386,2.68756,-0.054382,-13.251563,0.347641,0.120248,0.992744,13.256122,30.576686,-1,-0.499999,-1,-0.5,"[3.223, 3.221, 3.22, 3.188, 3.254, 3.274, 3.292, 3.336, 3.375, 3.458, 3.729, 3.356, 3.072, 2.825, 2.631, 2.455, 2.308, 2.182, 2.076, 1.981, 1.897, 1.824, 1.76, 1.704, 1.653, 1.609, 1.569, 1.536, 1.506, 1.177, 1.16, 1.144, 1.131, 1.121, 1.113, 1.107, 1.104, 1.102, 1.103, 1.105, 1.11, 1.117, 1.126, 1.137, 1.152, 1.469, 1.493, 1.52, 1.554, 1.591, 1.633, 1.68, 1.734, 1.795, 1.863, 1.942, 2.032, 2.129, 2.245, 2.387, 2.537, 2.735, 2.945, 3.227, 3.557, 3.941, 4.488, inf]",,,,,,,,,,,,,,,
2,Home,A,110800_042575.jpg,-0.844636,0.083622,-0.274922,-13.6386,2.68756,-0.054382,-13.0204,-0.967051,0.218756,0.97578,13.056263,30.576686,-1,-0.499999,-1,-0.5,"[3.293, 3.261, 3.245, 3.252, 3.237, 3.244, 3.254, 3.285, 3.308, 3.339, 3.368, 3.424, 3.476, 3.997, 3.647, 3.338, 3.089, 2.88, 2.706, 2.554, 2.421, 2.306, 2.207, 2.121, 2.042, 1.975, 1.913, 1.862, 1.815, 1.773, 1.738, 1.705, 1.678, 1.359, 1.343, 1.329, 1.319, 1.311, 1.306, 1.303, 1.303, 1.305, 1.309, 1.316, 1.327, 1.339, 1.649, 1.671, 1.698, 1.729, 1.764, 1.804, 1.849, 1.902, 1.96, 2.026, 2.102, 2.183, 2.279, 2.395, 2.515, 2.671, 2.832, 3.043, 3.28, 3.545, 3.904, 4.317]",,,,,,,,,,,,,,,
2,Home,A,110800_243607.jpg,-1.034093,0.147443,-0.374922,-13.6386,2.68756,-0.054382,-12.659141,-2.252097,0.315079,0.949066,12.857908,30.576686,-1,-0.499999,-1,-0.5,"[3.409, 3.361, 3.342, 3.319, 3.302, 3.282, 3.276, 3.279, 3.411, 3.305, 3.324, 3.367, 3.402, 3.437, 3.495, 3.556, 3.664, 3.873, 3.579, 3.329, 3.115, 2.933, 2.777, 2.645, 2.524, 2.422, 2.328, 2.25, 2.179, 2.115, 2.062, 2.011, 1.969, 1.932, 1.899, 1.573, 1.553, 1.537, 1.523, 1.513, 1.506, 1.501, 1.5, 1.501, 1.506, 1.513, 1.523, 1.825, 1.845, 1.87, 1.898, 1.93, 1.967, 2.011, 2.059, 2.115, 2.178, 2.245, 2.325, 2.421, 2.519, 2.644, 2.772, 2.936, 3.117, 3.314, 3.571, 3.857]",,,,,,,,,,,,,,,
2,Home,A,110800_442621.jpg,-1.216231,0.229858,-0.474922,-13.6386,2.68756,-0.054382,-12.171398,-3.494658,0.408253,0.912869,12.663157,30.576686,-1,-0.499999,-1,-0.5,"[3.582, 3.519, 3.433, 3.446, 3.413, 3.378, 3.368, 3.355, 3.297, 3.339, 3.343, 3.356, 3.378, 3.402, 3.408, 3.49, 3.539, 3.587, 3.662, 3.738, 4.084, 3.786, 3.537, 3.329, 3.142, 2.985, 2.844, 2.727, 2.621, 2.525, 2.446, 2.369, 2.306, 2.25, 2.201, 2.154, 2.116, 2.084, 1.76, 1.741, 1.725, 1.711, 1.702, 1.695, 1.692, 1.693, 1.696, 1.703, 2.0, 2.016, 2.036, 2.06, 2.089, 2.124, 2.162, 2.208, 2.26, 2.315, 2.381, 2.459, 2.54, 2.642, 2.745, 2.876, 3.018, 3.17, 3.365, 3.576]",,,,,,,,,,,,,,,
2,Home,A,110800_642456.jpg,-1.389231,0.330046,-0.574922,-13.6386,2.68756,-0.054382,-11.562042,-4.682318,0.497348,0.867551,12.47417,30.576686,-1,-0.499999,-1,-0.5,"[inf, 3.758, 3.688, 3.626, 3.576, 3.53, 3.506, 3.476, 3.455, 3.43, 3.43, 3.428, 3.421, 3.43, 3.446, 3.472, 3.506, 3.542, 3.602, 3.657, 3.712, 3.796, 3.881, 4.268, 3.97, 3.726, 3.51, 3.332, 3.172, 3.03, 2.914, 2.8, 2.707, 2.625, 2.552, 2.481, 2.425, 2.376, 2.33, 2.294, 1.964, 1.939, 1.92, 1.904, 1.891, 1.883, 1.878, 1.877, 1.88, 2.17, 2.182, 2.197, 2.217, 2.242, 2.272, 2.307, 2.348, 2.392, 2.446, 2.509, 2.575, 2.658, 2.741, 2.846, 2.96, 3.08, 3.233, 3.395]",,,,,,,,,,,,,,,
2,Home,A,110800_842475.jpg,-1.551366,0.447004,-0.674921,-13.6386,2.68756,-0.054382,-10.837162,-5.80321,0.581474,0.813565,12.293142,30.576686,-1,-0.499999,-1,-0.5,"[inf, inf, inf, inf, 3.777, 3.757, 3.695, 3.647, 3.61, 3.575, 3.562, 3.543, 3.522, 3.526, 3.528, 3.536, 3.541, 3.561, 3.59, 3.63, 3.672, 3.74, 3.802, 3.862, 3.956, 4.049, 4.408, 4.131, 3.888, 3.674, 3.5, 3.333, 3.197, 3.077, 2.97, 2.868, 2.786, 2.714, 2.645, 2.591, 2.54, 2.493, 2.16, 2.131, 2.107, 2.088, 2.073, 2.063, 2.056, 2.053, 2.054, 2.343, 2.354, 2.369, 2.388, 2.413, 2.444, 2.478, 2.519, 2.569, 2.621, 2.687, 2.754, 2.839, 2.93, 3.026, 3.147, 3.275]",,,,,,,,,,,,,,,
